date,product,category,units_sold,unit_price
2024-01-01,Wireless Mouse,Accessories,12,15.99
2024-01-01,Mechanical Keyboard,Accessories,5,79.99
2024-01-02,USB-C Hub,Accessories,8,29.99
2024-01-02,Laptop Stand,Accessories,6,39.99
2024-01-03,27-inch Monitor,Electronics,3,249.99
2024-01-03,Webcam HD,Electronics,7,59.99
2024-01-04,Noise Cancelling Headphones,Electronics,4,199.99
2024-01-04,Gaming Mousepad,Accessories,10,19.99
2024-01-05,External SSD 1TB,Electronics,2,129.99
2024-01-05,Bluetooth Speaker,Electronics,6,89.99
